season,version,episode_number_overall,episode,episode_label,episode_date,viewers,imdb_rating,n_ratings
7,SA,104,17,Ep 17,2019-09-05,NA,9.6,7
8,US,105,7,Ep 7,2004-03-11,22630000,7.7,152
5,AU,105,5,Ep 5,2020-02-11,NA,9,44
7,SA,105,18,Finale,2019-09-12,NA,9.3,7
8,US,106,8,Ep 8,2004-03-17,21890000,7.6,152
5,AU,106,6,Ep 6,2020-02-12,NA,8.4,43
8,SA,106,1,Ep 1,2021-06-03,NA,8.6,22
8,US,107,9,Recap,2004-03-24,NA,7.3,108
5,AU,107,7,Ep 7,2020-02-17,NA,8.6,44
8,SA,107,2,Ep 2,2021-06-10,NA,9,18
8,US,108,10,Ep 10,2004-04-01,21690000,7.8,153
5,AU,108,8,Ep 8,2020-02-18,NA,9,44
8,SA,108,3,Ep 3,2021-06-17,NA,8.4,16
8,US,109,11,Ep 11,2004-04-08,20760000,8.3,156
5,AU,109,9,Ep 9,2020-02-19,NA,8.6,40
8,SA,109,4,Ep 4,2021-06-24,NA,9,17
8,US,110,12,Ep 12,2004-04-15,20780000,7.6,148
5,AU,110,10,Ep 10,2020-02-24,NA,8.2,40
8,SA,110,5,Ep 5,2021-07-01,NA,8.2,16
8,US,111,13,Ep 13,2004-04-22,20990000,7.8,149
5,AU,111,11,Ep 11,2020-02-25,NA,9,44
8,SA,111,6,Ep 6,2021-07-08,NA,8.6,15
8,US,112,14,Ep 14,2004-04-29,20780000,7.4,148
5,AU,112,12,Ep 12,2020-02-26,NA,8.5,43
8,SA,112,7,Ep 7,2021-07-15,NA,8.4,14
8,US,113,15,Ep 15,2004-05-06,19210000,7.6,150
5,AU,113,13,Ep 13,2020-03-02,NA,8.3,42
8,SA,113,8,Ep 8,2021-07-22,NA,9,18
8,US,114,16,Finale,2004-05-09,24760000,7.8,158
5,AU,114,14,Ep 14,2020-03-03,NA,8.6,42
8,SA,114,9,Ep 9,2021-07-29,NA,8.6,15
9,US,115,1,Ep 1,2004-09-16,20060000,7.8,219
5,AU,115,15,Ep 15,2020-03-04,NA,8.3,41
8,SA,115,10,Ep 10,2021-08-05,NA,8.1,15
9,US,116,2,Ep 2,2004-09-23,19140000,7.6,206
5,AU,116,16,Ep 16,2020-03-09,NA,8.2,40
8,SA,116,11,Ep 11,2021-08-12,NA,8.4,15
9,US,117,3,Ep 3,2004-09-30,19910000,7.8,209
5,AU,117,17,Ep 17,2020-03-10,NA,8.4,39
8,SA,117,12,Ep 12,2021-08-19,NA,8.8,14
9,US,118,4,Ep 4,2004-10-07,19460000,7.4,202
5,AU,118,18,Ep 18,2020-03-11,NA,9.1,42
8,SA,118,13,Ep 13,2021-08-26,NA,8.1,15
9,US,119,5,Ep 5,2004-10-14,19160000,7.5,204
5,AU,119,19,Ep 19,2020-03-16,NA,8.8,39
8,SA,119,14,Ep 14,2021-09-02,NA,8.2,13
9,US,120,6,Ep 6,2004-10-21,19220000,7.5,204
5,AU,120,20,Ep 20,2020-03-17,NA,8.5,38
8,SA,120,15,Ep 15,2021-09-09,NA,8.5,12
9,US,121,7,Ep 7,2004-10-28,20240000,7.3,200
5,AU,121,21,Ep 21,2020-03-18,NA,8,40
8,SA,121,16,Finale,2021-09-16,NA,8.8,15
9,US,122,8,Ep 8,2004-11-04,20700000,7.7,206
5,AU,122,22,Ep 22,2020-03-23,NA,8.1,38
9,SA,122,1,Ep 1,2022-07-18,NA,8.4,14
9,US,123,9,Ep 9,2004-11-11,20140000,7.6,203
5,AU,123,23,Ep 23,2020-03-24,NA,8.2,39
9,SA,123,2,Ep 2,2022-07-19,NA,8.8,14
